title,description,due_date
Describe Advanced timer counter Block UVM Environment",ip.yml,
Implement illegal stimulus sequence item constraint for uvme_adv_timer_b_rand_ill_stim_seq_c,uvme_adv_timer_b_rand_ill_stim_seq.sv,
Describe uvme_adv_timer_b_fix_stim_seq_c::body(),uvme_adv_timer_b_fix_stim_seq.sv,
Implement uvme_adv_timer_b_fix_stim_seq_c::body(),uvme_adv_timer_b_fix_stim_seq.sv,
Describe uvme_adv_timer_b_fix_ill_stim_seq_c::body(),uvme_adv_timer_b_fix_ill_stim_seq.sv,
Implement uvme_adv_timer_b_fix_ill_stim_seq_c::body(),uvme_adv_timer_b_fix_ill_stim_seq.sv,
Implement or remove uvme_adv_timer_b_cfg_c::rules_cons,uvme_adv_timer_b_cfg.sv,
Complete uvme_adv_timer_b_cfg_c scoreboard logging configuration,uvme_adv_timer_b_cfg.sv,
Implement uvme_adv_timer_b_cfg_c::post_randomize() or remove altogether,uvme_adv_timer_b_cfg.sv,
Describe uvme_adv_timer_b_prd_c::predict(),uvme_adv_timer_b_prd.sv,
Implement uvme_adv_timer_b_prd_c::predict(),uvme_adv_timer_b_prd.sv,
Implement adv_timer_b_cfg_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_cntxt_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_seq_item_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_in_mon_trn_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_out_mon_trn_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_cp_seq_item_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_dpi_seq_item_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_dpo_seq_item_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_cp_mon_trn_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_dpi_mon_trn_cg,uvme_adv_timer_b_cov_model.sv,
Implement adv_timer_b_dpo_mon_trn_cg,uvme_adv_timer_b_cov_model.sv,
